,cmt,0
99,"Đã nhận đủ bộ sp và có quà tặng kèm 1 máy rửa mặt màu hồng xinh xắn . Do lúc trc đã sd bộ sp này rồi rất ưng chất kem và hiệu quả trắng đều màu , da cũng rất mềm mịn . nên lần này quyết định đặt mua trên tiki nhân dịp back Friday  vừa đc giảm giá vừa đc rinh quà lại miễn phí ship . rất ít khi  mình có đc nhiều ưu đãi khi mua online . :))) rất vui và hài lòng","['giá', 'dịch vụ', 'kết cấu', 'Màu sắc']"
100,"Da bạn nào khô thì chắc đêm nên dùng kem khác. Da mình da thường, dùng ban ngày rất ưng. Thẩm thấu nhanh, ko bết dính dù chất kem đặc. Cái ưng nhất là nâng tone da lên 1-2 tone và màu kem làm da trắng hồng. Ai thik nhẹ nhàng, da ít khuyết điểm thì chắc chắn nên thử dùng.","['kết cấu', 'Màu sắc']"
101,"Tôi được tặng một hộp này, dùng rất thích và vừa hết nên đặt 1 hộp mới từ Tiki.
Hộp nhỏ gọn xinh xắn, Tiki giao hàng nhanh hơn dự kiến và đóng gói cẩn thận.
Dưỡng môi dùng khá thích, mùi thơm nhẹ, mềm môi. Ban ngày tôi cũng dùng làm lớp dưỡng trước khi bôi son, son đều màu và lâu trôi hơn hẳn.","['vận chuyển', 'đóng gói', 'mùi hương', 'độ bền', 'Màu sắc']"
102,"Đây là lần đầu tiên mình dùng tẩy trang của hãng này. Chai mình nhận được màu hơi vàng nhẹ, date xa, được tặng kèm sữa rửa mặt. Tẩy trang khá sạch, mùi nhẹ nhàng dễ chịu. Tẩy trang xong mà chưa kịp rửa mặt ngay thì da mặt cũng không bị khô, không ngứa. Loại này phù hợp cho bạn nào không trang điểm hoặc trang điểm rất nhẹ thôi nhé. Trang điểm đậm hoặc nhiều thì nên dùng dầu tẩy trang sẽ sạch hơn!","['dịch vụ', 'mùi hương', 'Màu sắc']"
103,Bài đăng thì ghi ko màu trong khi đó chất kem ngả vàng. Hộp thì ko tem niêm phong mua về  bóc hàng đã thấy mở. Hàng nhái rõ ràng.,"['dịch vụ', 'Màu sắc']"
104,Giao hàng nhanh shipper nhiệt tình đóng gói sản phẩm kĩ lưỡng ko bị móp méo có bọc chống sốc đây là tuýp thứ hai mình dùng chất kem có màu vàng nhẹ thấm nhanh các vết thâm mờ dần sẹo rỗ có đầy lên kiên trì sử dụng sẽ thấy kết quả rõ rệt,"['vận chuyển', 'đóng gói', 'Màu sắc']"
105,"Hàng ship tới mình là khã nhiều so với mình mua chính hãng tại nhà thuốc, chất kem chống nắng màu vàng, còn hàng hay mua là màu trắng sữa. Dùng hơi sợ nên thôi mua lại nhà thuốc dùng. Tại mình thấy trên này giá rẻ hơn mấy chục ngàn nên mua thử","['giá', 'Màu sắc']"
106,"Sản phẩm dạng gel không màu, mùi rất nhẹ mất nhanh, kết cấu hơi đặc hơn mình nghĩ. Nếu da mình chỉ làm sạch+ toner thì gel dưỡng thấm rất nhanh, không hề để lại sự bóng trên da, cảm giác da mềm như em bé, mà chưa sản phẩm dưỡng ẩm nào mình từng xài mà tốt như vầy. Tuy nhiên nếu da đã có thêm lớp BHA hay Retinol ( cùng hãng Paula choice) thì thời gian mát xa phải lâu hơn thì sản phẩm mới thẩm thấu hết được. Nói chung là đáng đồng tiền bát gạo","['giá', 'mùi hương', 'kết cấu', 'độ bền', 'Màu sắc']"
107,"Tôi vừa nhận được hàng và cảm thấy thất vọng! hình ảnh tôi gửi với chai màu xanh là tôi đang sử dụng có mã vạch in liền trên thân chai, còn màu trắng là hàng tiki vừa giao lại có mã vạch bằng giấy dán chồng lên mã vạch khác? sản phẩm như vậy làm sao có thể tin tưởng sử dụng đc? tôi muốn trả lại hàng! đơn hàng : #250734999 nhờ tiki hỗ trợ thu hồi gấp dùm! xin cảm ơn","['dịch vụ', 'Màu sắc']"
108,"Sp đúng mô tả. Dán lên sau vài tiếng thì chuyển sang màu trắng đục. Lột miếng dán ra k còn thấy nốt mụn ( do mình dán nguyên vùng mũi, bị mụn đầu đen li ti). Có nhíp nhựa đi kèm dùng để gỡ miếng dán",['Màu sắc']
109,"Hàng được bao rất kĩ và được giao đúng hạn. Em này mới đầu sử dụng thì có hơi châm chích nhẹ (nhưng không phải kích ứng), xài dần thì quen. Em này không cồn (khô), sulfate, hương liệu, paraben nên dịu nhẹ, bên cạnh đó còn bổ sung niacinamide, glycerine và b5 nên da nhạy cảm ưng lắm nha. Độ làm sạch thì chỉ ở mức tạm, độ pH chuẩn. Về bao bì thì em này có vòi pump dễ sử dụng, thiết kế OK. Về chất thì em này là chất gel trắng có màu trắng đục và không tạo bọt. Nói chung là công thức thì là công thức mới bổ sung các thành phần mới thôi nên không khác so với bản cũ lắm. Đây là chiếc sử rữa mặt dịu nhẹ nhất mà tôi từng biết đến và đã trải nghiệm được hết một chai rồi, khá ưng. Về việc sử dụng cho body thì cũng khá ok nè, nhưng hơi tốn. 
=>8,5/10 Dịu nhẹ, phù hợp cho loại da thường, khô, nhạy cảm, hỗn hợp khô, treatment. Chắc chắn sẽ mua lại lần sau","['vận chuyển', 'đóng gói', 'mùi hương', 'kết cấu', 'Màu sắc']"
110,"Nhìn thấy bạn dùng sản phẩm này nên quyết định quất nguyên mấy sản phẩm dưỡng về. Màu xanh mint đẹp lắm. Tinh chất thấm nhanh. Da mình thâm mụn nên dùng em này thấy mấy vết thâm cũng mờ mờ đi nè. Có tem chống giả nữa nên dùng yên tâm hơn nhiều. Đóng gói hàng cẩn thận, giao hàng nhanh","['vận chuyển', 'đóng gói', 'dịch vụ', 'Màu sắc']"
111,"Chất lượng srm thì ok quá ròi, mình xài của nhà Senka cũng 3 4 năm nay rồi, xài từ màu hồng qua màu xanh, thấy chất lượng vẫn rất ok. Vì đợt này dịch nên có đặt hàng về quê, hàng thì bị móp méo, thùng hàng cũng bị rách 1 lỗ nữa? chắc do khâu vận chuyển. Mình mua trong store nên nhận đc gói hàng như này nên cũng hơi buồn, mong lần sau khắc phục ạ","['vận chuyển', 'đóng gói', 'Màu sắc']"
112,"Sữa rửa mặt xài ổn, khá sạch, xài lâu, mùi hương thì bình thường, mình có xài qua màu xanh nhạt thì thấy xanh nhạt thơm hơn.
Giao hàng nhanh, được tặng hộp bông tẩy trang nhỏ xinh.","['vận chuyển', 'dịch vụ', 'mùi hương', 'Màu sắc']"
113,"Ban đầu mình dùng sản phẩm thấy rất ổn và hợp túi tiền còn đang định mua lại. Nhưng hôm nay sau khi chai còn 1/3 khi dùng mình để ý thấy ngoài lớp nước và dầu ra trong còn có thêm chút váng màu trắng lơ lửng trong chai, k biết đây là do lỗi sản phẩm hay thế nào (trước đó mình k thấy có hiện tượng như thế này, hạn sử dụng vẫn còn, cũng k phải là bọt đâu nhé mọi người). Rất mong tiki có câu trả lời cho mình yên tâm","['giá', 'dịch vụ', 'Màu sắc']"
114,"Đóng hộp không một miếng lót, không có bọc chai, nắp chai thì bụi bẩn, thân chai thì xước và cũ. Bên trong thì một lớp nước một lớp như dầu màu xanh không hoà tan dù có lắc mạnh. Không hiểu tiki đóng hàng thế nào? Thấy sản phẩm thế này mình rất lo ngại về chất lượng. Trước nay mình hay mua ở shoppe,vì tin tưởng cam kết hàng chính hãng của tiki nên qua đây mua, mà tiki làm mình thất vọng quá ( về cả thời gian giao hàng,phí ship,đóng gói và chất lượng sản phẩm). 1* dành cho chai tẩy trang, 1* còn lại là cho anh shipper thân thiện.","['vận chuyển', 'đóng gói', 'dịch vụ', 'Màu sắc']"
115,"Sản phẩm có kết cấu màu vàng trong, mùi hơi hắc một chút. Khi rửa xong có cảm giác khô thoáng và không bị khô da. Hy vọng đung thường xuyên hiệu quả sẽ tốt.","['mùi hương', 'kết cấu', 'Màu sắc']"
116,"sp tốt đóng gói tốt giao nhanh..mua 1sp đc 4 quà tặng chất lượng...e b5 này thì khỏi bàn rồi kem lên da mướt nâng tone nhẹ,mình dùng kết hợp với retionl A313 buổi tối,ság thì dùng 1 mình e b5 này vs kem chống nắng(sink aqua nắp vàng)..đc 1 tháng thấy da đc cải thiện đều màu hơn tí..lcl nhỏ đc xíu nha","['vận chuyển', 'đóng gói', 'dịch vụ', 'Màu sắc']"
117,"hàng fake.
không tem niêm phong, 
mã số in trên vỏ không trùng với  hộp
id không đúng
màu sắc khác hoàn toàn với bản auth đang dùng.
yêu cầu tiki phạt nhà bán và hoàn tiền ngay lập tức","['dịch vụ', 'Màu sắc']"
118,"Mua để dùng với mục đích cấp nước, giữ ẩm. Giao hàng nhanh, nhìn chai serum màu trắng vô cùng thanh lịch, nhã nhặn, mình ưng.","['vận chuyển', 'độ bền', 'Màu sắc']"
119,"gel này xịnn lắm mọi người ơi, mình dùng được mấy ngày mà mụn đầu đen, thâm đã giảm hẳn. màu hơi vàng do có nghệ nhưng mà không sao, sáng dậy tẩy trang, rửa mặt là sạch. mình rcm mọi người dùng nhá, mình da dầu mà ưng quá","['kết cấu', 'Màu sắc']"
120,"Date đến 5/2023
Nhãn mác, tem, nơi xuất xứ, nhập khẩu, nhãn tiếng việt đầy đủ, kem dưỡng bóp ra thấy có màu nhưng thoa ra thì không ảnh hưởng gì đến tone da, dưỡng ẩm dịu nhẹ, an toàn, cơ bản, trừ 1 sao vì thể tích nhỏ, đối với cá nhân  1 đứa đang viêm màng túi như mình.","['dịch vụ', 'độ bền', 'Màu sắc']"
121,"Mua về dùng đc 3 4 lần thấy rất khô căng da và lên mụn nghĩ do ko hợp thôi nên ko dùng tiếp nữa. Vẫn để trong nhà tắm đến hôm nay tình cờ lướt thấy các clip review trên mạng về đúng srm này, dòng này, mình nhận ra là chai mình mua có màu vàng rất đậm, đậm hơn nhiều so với nhiều người review trên mạng. Ko nhớ rõ lắm lúc nhận hàng sao nhưng từ hôm đó đến giờ mình chẳng làm gì chai này cả chả hiểu sao dung dịch nó lại vàng hơn những clip trên mạng nhiều đến như vậy.",['Màu sắc']
122,Mình đặt hai sản phẩm nhưng shop giao sai một sản phẩm. Sản phẩm kia mình đặt hộp màu vàng nhưng sản phẩm nhận được hộp lại khác.,"['dịch vụ', 'Màu sắc']"
123,"Kcn của hãng quá quen rồi, mình cũng k đanh giá chất lượng làm gì, chỉ comment về cái bình quà tặng. Hihi, siu xinh nha. Màu hồng dễ thương vô đối. Tiki giao nhanh, sp tốt, date xa. Hài lòng ạ!","['vận chuyển', 'giá', 'dịch vụ', 'Màu sắc']"
124,"Peppti mình nhận đc là mẫu cũ chai bằng nhựa - Hơi thất vọng :(  . ko phải mẫu mới 2021 chai bằng thủy tinh . giá cũng khá mắc so với lazada shopee . chất toner dạng sệt màu trắng sữa , apply lên da hơi bết , chắc da mình dầu ko hợp . -  da khô hợp hơn . Dùng chỉ thấy ẩm nhiều còn lỗ chân to chưa đc cải thiện . Tiki nên có trụ sở tại HÀ Nội nữa để khách HÀ Nội ko phải đợi lâu , thêm nữa Tiki ko cho khách xem kiểm tra hàng thực tế điều này làm khách thực sự thất vọng ko biết hàng được nhận ra sao ... hụt hẫng . Dĩ nhiên cho xem hàng xem có đúng hàng của mình đã đặt ko . còn tiền và phí khách vẫn sẽ trả đủ . Hi vọng TiKi sẽ ghi nhận ý kiến phản hồi của khách hàng !","['giá', 'dịch vụ', 'kết cấu', 'Màu sắc']"
125,"Hợp với da dầu mụn, lên 1 tông màu. K bị bóng dầu như các loại trước đã xài, cũng k bị lên mụn. Hàng chính hãng.

 Mình là nam, lần đầu xài, và cảm thấy hài lòng, sẽ xài tiếp.","['dịch vụ', 'độ bền', 'Màu sắc']"
126,"Đã xài dòng màu xanh, màu trắng này có vẻ k cay mắt, nâng tone nhẹ k bị trắng bệt, có mùi thơm nhẹ. Nhận đầy đủ quà tặng . đợt này đóng gói hơi sơ xài nhưng ko bị đổ sản phẩm","['đóng gói', 'dịch vụ', 'mùi hương', 'Màu sắc']"
127,"Không thấy rõ hiệu quả với mụn ẩn và thâm, nhưng ít bết dính, không màu, giảm sưng mụn sau tầm 2 3 ngày","['kết cấu', 'Màu sắc']"
128,"Mụn viêm giảm đau nhanh, để lại thâm cũng mau lặn, nên chấm lên mụn vết thâm hay sẹo, thoa khắp mặt thì sẽ hơi bí da đó. Gel không màu nên đỡ phải dính quần áo và có thể sd ở chỗ làm","['kết cấu', 'Màu sắc']"
129,"Giảm thâm sẹo, sp không màu dịu nhẹ",['Màu sắc']
130,"Hàng của shop uy tín nên khá yên tâm, giá mềm, giao hàng nhanh và đóng gói cẩn thận, thấy loại này được nhiều review tích cực nên mìnb mua dùng thử xem sao, chất kem lỏng màu trắng trong còn về tác dụng xài lâu dài mới có thể đánh giá chi tiết đc","['vận chuyển', 'giá', 'đóng gói', 'dịch vụ', 'kết cấu', 'Màu sắc']"
131,"kem dùng ok nhưng mà mùi lần này hơi lạ so với chai đầu tiên sử dụng, màu kem cũnh vàng hơn. Hy vọng dùng ok như lần đầu :)","['mùi hương', 'Màu sắc']"
132,"Kem chống nắng dạng cream không màu, ko nâng tông da, da t hhtd dùng kcn này k hề đến tầm nửa ngày ko bị đổ dầu như cái chảo hêhe","['kết cấu', 'độ bền', 'Màu sắc']"
133,mùi thì chưa ngửi mình nghĩ là ko có mùi í. Gel ko màu ko làm dơ đồ mình mặc tui thoa ngày 2 lần đc 2 tuần r thấy hiệu quả nên mới nhớ lên đây đánh giá. Mn mua dùng thử ikk,"['giá', 'mùi hương', 'Màu sắc']"
134,"Mới đầu bôi rít và bóng, nhưng sau 10-15’ thì rất ráo mặt, nhẹ như bôi kem dưỡng. Kem dễ tán, làm đều màu da. Hơi nâng tone nhẹ","['kết cấu', 'Màu sắc']"
135,Mua đi mua lại nên về chất lượng thì khỏi bàn cãi. Da mụn nhạy cảm hay gì cũng ko cần phải lo mà cứ mua thôi. Cho 4 sao vì Tiki giao hàng chậm. Điểm này Tiki thua Shopee và Lazada. Cải thiện khâu này tốt biết mấy. Mình mua giá siêu hời. Trước hay xài chai màu xanh cho da dầu nhưng từ ngày xài e này thấy cũng ko khác gì e kia là mấy mà rẻ hơn nên đâu dại gì mà ko mua. À 3 chai này sản xuất từ 1 năm trước rồi. Cái này cũng ko bằng Shopee vì lần nào mình mua bên đó cũng nhận hàng mới hết. Nhưng không sao cả vì date còn xa.,"['vận chuyển', 'giá', 'dịch vụ', 'Màu sắc']"
136,"Tiki giao nhanh, hãng chính hãng. Hộp kem có đế nhựa trong hộp khá chắc nên tiki gói hơi ẩu cũng không quan trọng lắm. Review: Mình trc giờ k hợp Acnes, nhưng khi thử sử dụng SRM của dòng này mình rất ưng, da sáng và mụn đở sưng nhiều nên mình đã mua luôn kem. Kem KO có mùi hương liệu, mình dị ứng mùi nên rất ok, bạn nào thích mùi thì thấy mùi này hơi dị bởi vì nó là mùi nguyên liệu. Dạng cream hơi đặc, màu sữa chua. Thoa lên mỏng, mịn, sau 1p kem sẽ thấm luôn vào da làm da khô nhưng vẫn ẩm, mượt, ko bóng. Bạn nào có mụn thì nó sẽ đẩy mụn lên trong vòng 2 tuần đầu, sau đó sẽ lành, giảm sưng, đở mụn nhiều. Kết hợp SRM thấy da trắng khoẻ lên. Mình mua có cả ship mà chỉ tốn 85k cho 1 hộp kem dưỡng bình dân, thành phần an toàn, kết quả tốt nên đáng để thử. Chỉ nên dùng cho da hỗn hợp thiên dầu, da sau mụn, da hết mụn cần dưỡng trắng. Có AHA, BHA nên sẽ đẩy mụn, bạn nào dị ứng lưu ý. LẦN ĐẦU TIÊN DÙNG ĐƯỢC ACNES hơn 5 tháng và muốn mua lại, các dòng khác mình ko hợp lắm ?","['vận chuyển', 'giá', 'đóng gói', 'dịch vụ', 'mùi hương', 'kết cấu', 'Màu sắc']"
137,"Đánh giá về tẩy trang Bioderma hồng này chỉ có 1 từ thôi là : Quá tuyệt vời, mới nặn mụn xong mà dùng vẫn không kích ứng gì cả. Đúng là tẩy trang quốc dân mà
Nhận xét khi mua hàng trên Tiki : giao khá nhanh, hàng chuẩn auth. Lúc đó mua giá 434.000 đ của nhà cung cấp Từ Hảo Pharma. Chai nguyên vẹn, không rò rỉ, date xa. Nói chung hài lòng về sản phẩm và trải nghiệm trên Tiki
Mình cũng có dùng song song với tẩy trang Bioderma xanh lá. Thường cách dùng của mình như sau :
Khi mới nặn mụn hoặc vừa bị kích ứng mình sẽ dùng màu hồng 
Còn bình thường do da mình thuộc loại da dầu nhiều nên dùng màu xanh lá là chủ đạo
Màu hồng này dùng được cho cả mắt và môi các bạn nhé","['vận chuyển', 'giá', 'dịch vụ', 'Màu sắc']"
138,Ưng cái bụng gì đâu. Son thơm mùi ngọt lịm nên các bạn cân nhắc nha. Mình thì thích mùi đào hơn. Nói chung với giá cả như này cho một cây son dưỡng là quá oke rồi. Còn hiệu quả về lâu về dài thì mình chưa biết.,"['giá', 'mùi hương']"
139,"Vì lần đầu dùng nên thấy nước tẩy trang này khá ổn áp, giá lại hạt dẻ nữa, tẩy sạch lắm nha, mùi thì nhẹ dịu không quá nồng","['giá', 'mùi hương']"
140,sản phẩm tốt có mùi dễ chịu.nhưng khá khô da sau khi rửa mặt...................giá cả hợp lý.giao hàng nhanh....,"['vận chuyển', 'giá', 'mùi hương']"
141,"Giá hạt dẻ mà chất lượng ok, mùi thơm nhẹ dễ chịu, rửa sạch, tuy nhiên hơi khô, nên dùng thêm toner.","['giá', 'mùi hương']"
142,"Vô cùng ưng mùi của nước tẩy trang này. Lúc mua đắn đo nhưng khi lấy ra dùng từ lần đầu tiên đã mê em này. Rất là ưng tẩy trang và sữa rửa mặt của hãng này. Dịu nhẹ, mùi thơm dễ chịu, không gây kích ứng da. Có lẽ sẽ gắn bó dài lâu với em nó đây, mặc dù giá hơi cao.","['giá', 'mùi hương', 'kết cấu']"
143,"mới nhận hàng nè
hàng về đóng gói OK lắm luôn
chất kem thấm khá nhanh, mùi thì khá là hmmm.. chắc sản phẩm không cí chất tạo hương nên mùi nhẹ.
mới xài nên chưa review được sau sẽ quay lại đánh giá.","['giá', 'đóng gói', 'mùi hương', 'kết cấu']"
144,"Hàng đóng gói cẩn thận. Do dịch nên giao hàng hơi chậm hơn bình thường một xíu. Mình me em này từ lâu rồi, được bạn review ok nữa nên quyết định đặt. Dùng thử lần đầu mình cảm thấy gel thấm nhanh, mùi hương nhẹ, thanh mát. Hi vọng sản phẩm sẽ phù hợp với mình. Mua được giá khuyến mãi nên cảm thấy vui lắm.","['vận chuyển', 'giá', 'đóng gói', 'mùi hương', 'kết cấu']"
145,"sản phẩm có mùi thơm, giá tốt, sử dụng thoải mái, dễ chịu, người Việt dùng hàng Việt, bảo vệ môi trường. Sẽ ủng hộ trong tương lai sau này. Mong hãng ngày một phát triển","['giá', 'mùi hương']"
146,"Mùi dễ chịu, tạo bọt mụn sạch da, ko căng da sau khi rửa xong, giá cả tốt rẻ, lâu lắm rồi mới khuyến mãi vậy, cảm ơn tiki nhé  hình ảnh minh hoa được nhé,","['giá', 'mùi hương', 'kết cấu']"
147,Cần tg sử dụng lâu mí thấy kết quả. Mình bôi ko nhiều ko đánh giá dc nhưng có mùi dễ chịu. Gel vàng trong. Thấm tươg đối nhanh.,"['giá', 'mùi hương', 'kết cấu', 'Màu sắc']"
148,Tiền nào của nấy 🤪 Lúc mua 340k thì đặc như serum và mùi thơm cam chanh. Lúc mua “giảm giá” 229k thì loãng như nước và rất thơm mùi cồn. Chẳng biết đâu mà phân biệt.,"['giá', 'mùi hương', 'kết cấu']"
149,"so dùng khá lành tính và có mùi dễ chịu 
giá thành hợp lý đáng để lựac chọn","['giá', 'mùi hương']"
